,0
1331,0.18770796
1332,0.17957214
1333,0.15956798
1334,0.15685935
1335,0.2526401
1336,0.44286302
1337,0.61015224
1338,0.52347827
1339,0.80394113
1340,0.6219083
1341,0.48988232
1342,0.41669124
1343,0.3532078
1344,0.30236626
1345,0.27421466
1346,0.379236
1347,0.3475187
1348,0.44754356
1349,0.5369673
1350,1.3331089
1351,1.0392652
1352,0.86598194
1353,0.8871384
1354,0.6227855
1355,0.47162652
1356,0.3801446
1357,0.3195369
1358,0.3788762
1359,0.31374902
1360,0.58731127
1361,0.58753395
1362,0.74849856
1363,0.5933802
1364,0.48355448
1365,0.41773933
1366,0.35460407
1367,0.30670026
1368,0.3960901
1369,0.3473519
1370,0.36794654
1371,0.4715714
1372,0.3990599
1373,0.36050257
1374,0.31202516
1375,0.28996444
1376,0.25854072
1377,0.23143257
1378,0.26575953
1379,0.24526295
1380,0.55790555
1381,0.49426848
1382,0.40797132
1383,0.7397164
1384,2.9854288
1385,2.6640282
1386,1.8663744
1387,1.379032
1388,1.0382831
1389,1.0613058
1390,0.9789603
1391,3.3851235
1392,9.378006
1393,7.4912186
1394,4.8608184
1395,4.315711
1396,2.9088597
1397,1.8499413
1398,3.7375302
1399,4.0588613
1400,4.1907434
1401,2.9517078
1402,2.1497505
1403,1.7062092
1404,1.3465518
1405,1.0908059
1406,1.322087
1407,1.0573092
1408,0.87941253
1409,0.62055165
1410,0.45889756
1411,0.773937
1412,0.8795038
1413,0.7257558
1414,1.0392727
1415,0.99103063
1416,0.84587204
1417,1.047984
1418,1.2727755
1419,0.8811257
1420,0.72935665
1421,0.64567226
1422,0.58043027
1423,0.5632573
1424,0.47698802
1425,0.43811148
1426,0.37283832
1427,0.29928684
1428,0.5014535
1429,0.5904965
1430,0.5027417
1431,0.43212503
1432,0.3314889
1433,0.3215437
1434,5.9177055
1435,4.1492968
1436,2.8822057
1437,1.9927483
1438,2.1334004
1439,1.6054416
1440,1.1910629
1441,0.9573767
1442,0.95310915
1443,1.5569711
1444,1.2243478
1445,0.99801743
1446,0.8773308
1447,0.8081423
1448,1.1488564
1449,1.1339893
1450,0.88478553
1451,0.9434521
1452,0.787557
1453,0.6364509
1454,0.5299285
1455,0.46122435
1456,0.39480782
